Word,Meaning,Audio
alleviate,"làm nhẹ bớt, làm dịu, làm khuây khỏa",4000B6_alleviate.mp3
astrology,"thiên văn học, thuật chiêm tinh",4000B6_astrology.mp3
differentiate,phân biệt,4000B6_differentiate.mp3
disrupt,"đập gãy, đập vỗ, phá vỡ",4000B6_disrupt.mp3
equation,sự làm cân bằng,4000B6_equation.mp3
err,"lầm lỗi, sai lầm",4000B6_err.mp3
erroneous,"sai lầm, sai sót; không đúng",4000B6_erroneous.mp3
frantic,"điên cuồng, điên rồ",4000B6_frantic.mp3
hull,"vỏ, bao,vỏ trái cây",4000B6_hull.mp3
inadvertent,"vô ý, không chú ý; thiếu thận trọng",4000B6_inadvertent.mp3
improvise,"ứng khẩu,ứng biến",4000B6_improvise.mp3
latitude,"vĩ độ, vĩ tuyến",4000B6_latitude.mp3
mariner,thuỷ thủ,4000B6_mariner.mp3
multitude,"đám đông, vô số",4000B6_multitude.mp3
nuisance,mối làm phiền toái,4000B6_nuisance.mp3
permanence,sự vĩnh cửu,4000B6_permanence.mp3
revolve,xoay quanh,4000B6_revolve.mp3
soothe,"xoa dịu, dỗ dành",4000B6_soothe.mp3
stranded,"mắc kẹt, mắc cạn,bị bỏ lại đằng sau",4000B6_stranded.mp3
volatile,"hay thay đổi,dễ bay hơi",4000B6_volatile.mp3
arduous,"khó khăn, gian khổ, gay go",4000B6_arduous.mp3
attain,"đạt tới, đạt được",4000B6_attain.mp3
coexist,"chung sống, cùng tồn tại",4000B6_coexist.mp3
conceive,nhận thức; tưởng tượng,4000B6_conceive.mp3
dubious,"mơ hồ, không minh bạch, không rõ ràng",4000B6_dubious.mp3
ego,(triết học) cái tôi,4000B6_ego.mp3
elastic,đàn hồi; mềm dẻo,4000B6_elastic.mp3
endeavor,"sự cố gắng, sự nỗ lực",4000B6_endeavor.mp3
engrave,"khắc, trổ, chạm",4000B6_engrave.mp3
excavate,"đào (đất), khai quật",4000B6_excavate.mp3
jagged,"lởm chởm, có nhiều cạnh nhọn",4000B6_jagged.mp3
locale,"địa điểm, nơi xảy ra (sự việc gì...)",4000B6_locale.mp3
mold,khuôn,4000B6_mold.mp3
outright,"hoàn toàn, toàn bộ",4000B6_outright.mp3
periphery,chu vi,4000B6_periphery.mp3
plaster,vữa (trát tường),4000B6_plaster.mp3
shovel,cái xẻng,4000B6_shovel.mp3
skeletal,(thuộc) bộ xương,4000B6_skeletal.mp3
terrestrial,(thuộc) trái đất,4000B6_terrestrial.mp3
vicious,"xấu xa, đồi bại",4000B6_vicious.mp3
absurd,"buồn cười, lố bịch",4000B6_absurd.mp3
anemia,bệnh thiếu máu,4000B6_anemia.mp3
aristocracy,tầng lớp quý tộc,4000B6_aristocracy.mp3
aristocrat,"nhà quý tộc,người quý tộc",4000B6_aristocrat.mp3
attire,quần áo; đồ trang điểm,4000B6_attire.mp3
craze,"sự ưa thích, sự say mê",4000B6_craze.mp3
enlarge,"mở rộng, tăng lên, khuếch trương",4000B6_enlarge.mp3
excess,"sự vượt quá, sự thừa ra",4000B6_excess.mp3
feminine,"nữ tính,như đàn bà",4000B6_feminine.mp3
hallmark,"dấu hiệu xác nhận tiêu chuẩn, sự đảm bảo",4000B6_hallmark.mp3
pad,"miếng đệm, cái lót",4000B6_pad.mp3
predominant,"chiếm ưu thế, trội hơn hẳn",4000B6_predominant.mp3
reputable,"có tiếng tốt, danh giá",4000B6_reputable.mp3
rouge,"phấn hồng,son môi",4000B6_rouge.mp3
signify,"báo hiệu, biểu hiện",4000B6_signify.mp3
strap,"dây (da, lụa, vải...); đai da",4000B6_strap.mp3
tangle,"mớ rối, mớ lộn xộn",4000B6_tangle.mp3
vanity,"sự hợm hĩnh, tính kiêu căng",4000B6_vanity.mp3
vie,ganh đua; thi đua,4000B6_vie.mp3
vulgar,"thô tục,thô bỉ",4000B6_vulgar.mp3
attic,gác mái (nhà),4000B6_attic.mp3
chunk,"cục, khúc, khoanh, miếng...(bánh, phó mát...)",4000B6_chunk.mp3
civic,"(thuộc) công dân, dân sự",4000B6_civic.mp3
descent,"sự xuống, sự hạ thấp",4000B6_descent.mp3
din,"tiếng ầm ĩ, tiếng om sòm, tiếng inh tai nhức óc",4000B6_din.mp3
dissatisfy,"không làm hài lòng,làm bất mãn",4000B6_dissatisfy.mp3
fuss,"sự ồn ào, sự om sòm",4000B6_fuss.mp3
gourmet,"(thuộc) sành ăn, sành điệu",4000B6_gourmet.mp3
hence,"do đó, vì thế, vì lý do đó",4000B6_hence.mp3
intrinsic,"(thuộc) bản chất, thực chất; bên trong",4000B6_intrinsic.mp3
kettle,"siêu điện, nồi nấu dùng điện",4000B6_kettle.mp3
ministry,Bộ,4000B6_ministry.mp3
ordeal,"(sự)thử thách, trải nghiệm",4000B6_ordeal.mp3
outspoken,"thẳng thắn, trực tính",4000B6_outspoken.mp3
overwork,"bắt làm quá sức,làm việc quá sức",4000B6_overwork.mp3
particular,"đặc biệt, đặc thù; cá biệt, riêng biệt",4000B6_particular.mp3
pungent,hăng; cay (ớt...),4000B6_pungent.mp3
snore,ngáy,4000B6_snore.mp3
soundly,hoàn toàn và đầy đủ,4000B6_soundly.mp3
superintendent,"người quản lý (công việc),người giám thị",4000B6_superintendent.mp3
alternate,"xen kẽ, xen nhau, luân phiên",4000B6_alternate.mp3
apologetic,"biết lỗi, xin lỗi",4000B6_apologetic.mp3
benign,lành; tốt; nhân từ,4000B6_benign.mp3
char,"đốt thành than, làm cháy",4000B6_char.mp3
clarify,làm cho sáng sủa dễ hiểu,4000B6_clarify.mp3
distress,"nỗi đau buồn, nỗi đau khổ",4000B6_distress.mp3
dogged,"bền bỉ, kiên trì",4000B6_dogged.mp3
ensue,"xảy ra sau đó, sinh ra từ",4000B6_ensue.mp3
gasp,thở hổn hển,4000B6_gasp.mp3
negotiate,"đàm phán, thương lượng, dàn xếp",4000B6_negotiate.mp3
overdose,"quá mức, quá liều lượng",4000B6_overdose.mp3
persuasion,sự thuyết phục,4000B6_persuasion.mp3
relay,cuộc chạy đua tiếp sức,4000B6_relay.mp3
reluctance,sự miễn cưỡng,4000B6_reluctance.mp3
restate,nói lại cho rõ ràng,4000B6_restate.mp3
sesame,"cây vừng, hạt vừng",4000B6_sesame.mp3
sip,"hớp, nhấp môi",4000B6_sip.mp3
verge,"rìa, bờ, ranh giới",4000B6_verge.mp3
wary,"thận trọng, cảnh giác",4000B6_wary.mp3
waver,"do dự, lưỡng lự, ngập ngừng",4000B6_waver.mp3
ashore,vào bờ,4000B6_ashore.mp3
contradict,"cãi lại, phủ nhận",4000B6_contradict.mp3
counterpart,"bản sao,bộ phận tương ứng, đối trọng",4000B6_counterpart.mp3
devoid,"không có, trống rỗng",4000B6_devoid.mp3
diverge,"phân kỳ, rẽ ra",4000B6_diverge.mp3
elude,"tránh, né, lảng tránh, trốn tránh",4000B6_elude.mp3
