Word,Meaning,Audio
abide by,tuân theo,ABIDE+BY_1380530514437.mp3
agree,"đồng ý, tán thành, bằng lòng, thoả thuận",AGREE_1380530514437.mp3
agreement,"hợp đồng, giao kèo",AGREEMENT_1380530514437.mp3
assurance,"sự cam đoan, sự đảm bảo, sự tự tin; bảo hiểm nhân thọ",ASSURANCE_1380530514437.mp3
cancellation,"sự bãi bỏ, hủy bỏ",speech_20180207072139929.mp3
determine,"định, xác định, định rõ",DETERMINE.mp3
engage,"dàn xếp để tuyển dụng một người; thuê một người;hấp dẫn ai đó, đính hôn",ENGAGE_1380530514437.mp3
establish,"thành lập, thiết lập, kiến lập",ESTABLISH_1380643440874.mp3
obligate,"bắt buộc, ép buộc",OBLIGATE_1380530514437.mp3
obligation,"nghĩa vụ, bổn phận",OBLIGATION_1380530514437.mp3
party,"các bên tham gia; bữa tiệc; đội, nhóm.",PARTY_1380530514437.mp3
provision,"điều khoản; đồ dự phòng, sự dự phòng",PROVISION_1380530514437.mp3
resolve,"quyết tâm, giải quyết",RESOLVE_1380643440874.mp3
specific,"chỉ rõ, ghi rõ, định rõ, ghi chú vào phần chi tiết kỹ thuật",speech_20180122053755502.mp3
engagement,"sự hứa hẹn, hứa hôn;",speech_20180210032938763.mp3
attract,"thu hút, hấp dẫn, lôi cuốn",ATTRACT_1380530514437.mp3
compare,"so sánh, đối chiếu",COMPARE.mp3
competition,sự cạnh tranh; cuộc thi,speech_20180122054010099.mp3
consume,"dùng, tiêu thụ; tiêu tốn",CONSUME_1380530514437.mp3
consumer,"người tiêu dùng, người tiêu thụ",CONSUMER.mp3
productive,"hiệu quả; sản xuất nhiều; màu mỡ, sinh sôi",speech_20180122055649579.mp3
convince,"làm cho tin, làm cho nghe theo, thuyết phục",CONVINCE_1380643440874.mp3
currently,"hiện thời, hiện nay",speech_20180122055301782.mp3
fad,"mốt, xu hướng thời trang",fad_1380643440871.mp3
inspiration,"(sự/người/vật) truyền cảm hứng, gây cảm hứng;",speech_20180122055443367.mp3
market,giá thị trường; tình hình thị trường,MARKET.mp3
persuasion,làm cho tin; thuyết phục; tín ngưỡng,speech_20180122055612911.mp3
satisfaction,"sự hài lòng, sự làm cho thỏa mãn;",speech_20180122055712667.mp3
characteristic,"riêng, riêng biệt, đặc thù, đặc trưng",CHARACTERISTIC_1380530514437.mp3
consequence,hậu quả / hệ quả;tầm quan trọng;,CONSEQUENCE_1380643440874.mp3
consider,"cân nhắc, xem xét, suy xét, suy nghĩ; cho rằng, coi như",CONSIDER.mp3
cover,"che, phủ, bao phủ; bồi thường bảo hiểm; bao gồm, đủ",COVER.mp3
expiration,"sự mãn hạn, sự hết hạn, sự kết thúc;",speech_20180207092415625.mp3
frequently,"thường xuyên, hay xảy ra, có luôn",FREQUENTLY.mp3
imply,ý nói; ngụ ý; bao hàm ý,IMPLY_1380530514437.mp3
promise,"lời hứa, điều hứa, điều hẹn ước; sự hứa hẹn",PROMISE.mp3
protect,"bảo vệ, sự bảo vệ, che chở",PROTECT.mp3
reputation,"tiếng tốt, thanh danh, danh tiếng",REPUTATION_1380643440874.mp3
require,"đòi hỏi, yêu cầu",REQUIRE.mp3
variety,"đa dạng, nhiều thứ/loại/vẻ khác nhau;",speech_20180207093742178.mp3
coverage,"trị giá bảo hiểm, phạm vi bảo hiểm; phạm vi (báo cáo, tin tức...)",speech_20180130104910433.mp3
warranty,"giấy bảo hành, sự bảo hành",speech_20180130105526882.mp3
address,"(n) địa chỉ, diễn văn, bài nói chuyện; (v) trình bày;",ADDRESS_1380530514437.mp3
avoid,"tránh, tránh xa",AVOID_1380530514437.mp3
demonstrate,"chứng minh, giải thích, bày tỏ, biểu lộ, làm thấy rõ",DEMONSTRATE.mp3
develop,"phát triển, mở mang, mở rộng, khuếch trương, làm cho phát đạt",speech_20180126040133129.mp3
evaluate,"ước lượng , định giá",EVALUATE_1380530514437.mp3
gather,"tập hợp lại, tụ họp lại, kéo đến;hiểu, tin 1 thứ như kết quả của 1 thứ đã được nói/làm trước đó;",GATHER_1380530514437.mp3
offer,"đưa ra đề nghị, mời, cung cấp",OFFER_1380530514437.mp3
primarily,"trước hết, đầu tiên; chính, chủ yếu, quan trọng nhất;",speech_20180207095740677.mp3
risk,"sự rủi ro, sự nguy hiểm",RISK_1380530514437.mp3
strategy,"chiến lược, sự vạch kế hoạch hành động;",STRATEGY_1380643440874.mp3
strong,"mạnh khỏe, bền vững",STRONG.mp3
substitution,"sự đổi, sự thay thế;",speech_20180207100728254.mp3
conference,hội nghị,CONFERENCE.mp3
accommodate,"đáp ứng, cung cấp (không gian, nơi chốn)",ACCOMMODATE_1380530514437.mp3
arrangement,"sự sắp xếp, sự sắp đặt, cái được sắp xếp, cái được sắp đặt",ARRANGEMENT_1380530514437.mp3
association,hiệp hội,ASSOCIATION_1380530514437.mp3
attend,"tham dự, có mặt; chú ý đến",ATTEND_1380530514437.mp3
get in touch,giữ liên lạc,GET+IN+TOUCH_1380530514437.mp3
hold,"tổ chức, tiến hành; đáp ứng; kiểm soát, sở hữu",HOLD_1380530514437.mp3
location,vị trí,LOCATION.mp3
overcrowded,"kéo vào quá đông, dồn vào quá đông, chật ních",OVERCROWDED_1380530514437.mp3
register,đăng ký,REGISTER.mp3
select,"chọn, lựa chọn, tốt nhất (về chất lượng)",SELECT.mp3
session,"phiên họp, kỳ họp; buổi học, học kỳ (ở trường đại học)",SESSION.mp3
take part in,"tham gia, tham dự",TAKE+PART+IN.mp3
access,"truy cập, đường vào, tiếp cận",ACCESS_1380643440874.mp3
allocate,"sắp xếp, phân bổ, giành riêng (ngân sách...),cấp cho, phân phối, phân phát, chia phần; chỉ định, định rõ vị trí;",ALLOCATE.mp3
compatible,"tương tác, thích ứng, tương thích, phù hợp",COMPATIBLE.mp3
delete,xóa,DELETE.mp3
display,"trưng bày, hiển thị; biểu lộ tình cảm",DISPLAY_1380530514437.mp3
duplicate,"bản sao, gấp đôi, nhân bản",DUPLICATE.mp3
figure out,"chỉ ra, hiểu ra, mường tượng; tính toán tổng số;tìm hiểu, đoán ra, tính toán ra, giải ra;",FIGURE+OUT.mp3
ignore,"bỏ qua, lờ đi",IGNORE_1380643440874.mp3
search,"tìm kiếm, tìm hiểu",SEARCH_1380530514437.mp3
shut down,"đóng lại, ngừng lại",SHUT+DOWN.mp3
warning,"(sự/lời) cảnh báo, báo trước (có nguy hiểm hoặc gặp vấn đềrắc rối);",speech_20180221051444877.mp3
failure,"hỏng, thiếu, yếu, trượt, thất bại, bất thành",speech_20180221050227662.mp3
affordable,"hợp lý, có thể chi trả được",AFFORDABLE.mp3
as needed,cần thiết,AS+NEEDED.mp3
be in charge of,"có trách nhiệm, nghĩa vụ",BE+IN+CHARGE+OF.mp3
capacity,"sức chứa, khả năng",CAPACITY_1380643440874.mp3
durable,lâu bền,DURABLE.mp3
